product_id,product_name,category,stock_quantity,daily_sales,days_to_expiry,price,branch_id
0,Product_0,Snacks,663,39,43,392.05,2
1,Product_1,Bakery,189,21,58,86.44,2
2,Product_2,Beverages,143,11,24,173.52,3
3,Product_3,Snacks,200,40,22,37.64,3
4,Product_4,Frozen,336,24,30,114.05,2
5,Product_5,Dairy,63,21,12,309.71,3
6,Product_6,Frozen,836,44,27,309.81,2
7,Product_7,Beverages,756,42,15,233.47,1
8,Product_8,Vegetables,658,47,55,491.78,1
9,Product_9,Frozen,21,3,51,343.35,1
10,Product_10,Bakery,81,9,18,474.95,1
11,Product_11,Frozen,154,14,26,57.86,3
12,Product_12,Bakery,340,20,7,308.9,3
13,Product_13,Beverages,136,8,35,455.57,2
14,Product_14,Snacks,360,36,4,162.74,1
15,Product_15,Vegetables,72,6,4,100.58,2
16,Product_16,Beverages,252,18,34,203.62,3
17,Product_17,Dairy,576,36,31,461.72,1
18,Product_18,Snacks,128,8,23,265.21,3
19,Product_19,Vegetables,720,40,45,142.96,2
20,Product_20,Snacks,360,24,41,155.17,1
21,Product_21,Bakery,135,45,25,493.57,3
22,Product_22,Dairy,72,24,44,153.81,1
23,Product_23,Beverages,209,11,8,367.21,1
24,Product_24,Vegetables,231,33,42,185.65,2
25,Product_25,Frozen,369,41,9,315.42,2
26,Product_26,Vegetables,102,34,48,191.7,1
27,Product_27,Frozen,168,24,35,299.74,1
28,Product_28,Snacks,110,22,1,197.63,2
29,Product_29,Frozen,752,47,3,382.78,1
30,Product_30,Beverages,416,26,39,29.81,2
31,Product_31,Fruits,255,15,26,22.46,3
32,Product_32,Fruits,117,13,49,164.03,2
33,Product_33,Snacks,192,32,30,78.27,2
34,Product_34,Beverages,585,39,15,380.22,1
35,Product_35,Fruits,540,36,32,303.44,3
36,Product_36,Dairy,88,22,42,405.98,2
37,Product_37,Vegetables,84,6,44,214.09,2
38,Product_38,Frozen,99,11,33,143.34,1
39,Product_39,Vegetables,405,27,41,159.34,1
40,Product_40,Vegetables,60,6,27,214.53,3
41,Product_41,Beverages,111,37,51,142.01,3
42,Product_42,Beverages,408,24,59,168.37,2
43,Product_43,Vegetables,352,32,52,188.18,1
44,Product_44,Fruits,686,49,39,253.65,3
45,Product_45,Beverages,343,49,49,498.89,2
46,Product_46,Vegetables,196,49,2,211.41,2
47,Product_47,Beverages,161,23,32,455.05,3
48,Product_48,Beverages,76,19,53,249.83,1
49,Product_49,Frozen,256,32,32,300.42,2
50,Product_50,Fruits,209,11,38,190.21,2
51,Product_51,Snacks,272,34,22,272.53,2
52,Product_52,Frozen,864,48,33,83.85,2
53,Product_53,Fruits,108,6,29,430.6,1
54,Product_54,Fruits,180,36,19,180.85,3
55,Product_55,Bakery,77,7,33,204.81,1
56,Product_56,Dairy,390,39,1,341.09,2
57,Product_57,Bakery,300,25,35,121.99,2
58,Product_58,Frozen,288,16,57,263.15,2
59,Product_59,Snacks,196,49,1,55.62,2
60,Product_60,Snacks,84,12,37,442.49,3
61,Product_61,Dairy,99,9,35,353.18,2
62,Product_62,Beverages,80,16,20,444.67,3
63,Product_63,Vegetables,429,33,49,89.2,1
64,Product_64,Beverages,380,38,20,294.54,2
65,Product_65,Bakery,240,48,25,12.48,3
66,Product_66,Vegetables,184,46,54,229.73,1
67,Product_67,Snacks,246,41,33,18.86,1
68,Product_68,Frozen,252,14,20,189.57,1
69,Product_69,Vegetables,72,8,3,332.23,1
70,Product_70,Fruits,594,33,12,259.32,2
71,Product_71,Fruits,352,22,30,486.78,2
72,Product_72,Beverages,450,45,27,222.85,1
73,Product_73,Snacks,63,21,28,337.77,2
74,Product_74,Bakery,231,33,48,147.58,2
75,Product_75,Dairy,665,35,17,497.33,2
76,Product_76,Snacks,480,30,53,442.91,3
77,Product_77,Vegetables,287,41,24,172.07,2
78,Product_78,Beverages,230,46,33,46.92,2
79,Product_79,Snacks,63,21,3,93.05,3
80,Product_80,Bakery,300,25,31,423.66,2
81,Product_81,Beverages,30,3,46,57.62,3
82,Product_82,Dairy,544,32,22,185.74,3
83,Product_83,Dairy,324,27,2,168.05,2
84,Product_84,Bakery,120,40,9,354.22,1
85,Product_85,Vegetables,432,48,29,155.29,2
86,Product_86,Fruits,130,26,50,434.87,3
87,Product_87,Frozen,117,13,57,317.67,3
88,Product_88,Dairy,60,20,8,353.96,2
89,Product_89,Fruits,256,16,12,444.44,1
90,Product_90,Vegetables,60,15,2,224.85,1
91,Product_91,Fruits,418,22,52,29.03,1
92,Product_92,Vegetables,195,15,37,265.9,1
93,Product_93,Bakery,616,44,5,234.06,3
94,Product_94,Frozen,90,6,32,270.36,2
95,Product_95,Snacks,235,47,55,77.79,1
96,Product_96,Snacks,240,16,50,262.99,2
97,Product_97,Beverages,570,30,56,142.71,2
98,Product_98,Dairy,196,28,26,481.7,2
99,Product_99,Fruits,253,23,12,210.39,3
100,Product_100,Beverages,17,1,34,127.5,3
101,Product_101,Snacks,480,48,45,147.17,1
102,Product_102,Snacks,144,16,5,309.74,3
103,Product_103,Dairy,42,3,26,184.43,2
104,Product_104,Snacks,592,37,28,32.54,1
105,Product_105,Dairy,784,49,52,95.91,1
106,Product_106,Beverages,288,16,21,242.0,3
107,Product_107,Bakery,231,33,23,33.55,2
108,Product_108,Fruits,30,5,34,137.84,2
109,Product_109,Dairy,30,10,56,332.76,2
110,Product_110,Snacks,72,4,24,472.51,2
111,Product_111,Vegetables,38,2,28,297.03,3
112,Product_112,Bakery,378,27,50,290.95,2
113,Product_113,Vegetables,99,33,51,412.11,2
114,Product_114,Bakery,60,12,1,480.98,1
115,Product_115,Fruits,130,10,44,144.24,3
116,Product_116,Frozen,192,12,2,29.09,1
117,Product_117,Snacks,665,35,26,166.3,2
118,Product_118,Snacks,312,26,26,176.91,2
119,Product_119,Beverages,369,41,4,349.52,3
120,Product_120,Frozen,585,45,29,29.2,2
121,Product_121,Frozen,150,25,10,217.5,2
122,Product_122,Snacks,120,24,49,368.51,1
123,Product_123,Snacks,684,36,39,294.47,1
124,Product_124,Snacks,161,23,12,220.21,1
125,Product_125,Fruits,65,13,41,195.09,3
126,Product_126,Bakery,882,49,25,166.82,2
127,Product_127,Vegetables,361,19,36,15.31,3
128,Product_128,Snacks,574,41,9,166.46,3
129,Product_129,Dairy,238,14,16,229.74,3
130,Product_130,Dairy,490,35,25,281.31,3
131,Product_131,Snacks,126,21,53,397.87,1
132,Product_132,Bakery,585,39,53,252.27,3
133,Product_133,Beverages,624,39,31,37.38,2
134,Product_134,Fruits,455,35,11,67.36,2
135,Product_135,Beverages,132,12,10,420.11,1
136,Product_136,Dairy,136,17,7,218.78,3
137,Product_137,Dairy,480,40,9,412.71,3
138,Product_138,Dairy,14,2,29,51.57,2
139,Product_139,Fruits,190,19,48,432.94,2
140,Product_140,Frozen,418,22,7,493.14,1
141,Product_141,Bakery,24,4,6,357.01,1
142,Product_142,Dairy,266,19,54,355.49,1
143,Product_143,Bakery,90,10,3,134.3,1
144,Product_144,Bakery,280,28,41,374.66,1
145,Product_145,Frozen,45,3,28,481.46,2
146,Product_146,Snacks,147,49,38,223.8,1
147,Product_147,Dairy,660,44,32,282.44,3
148,Product_148,Fruits,846,47,54,463.08,3
149,Product_149,Bakery,222,37,35,350.75,1
150,Product_150,Vegetables,306,18,41,116.24,3
151,Product_151,Frozen,45,15,53,351.49,1
152,Product_152,Frozen,54,3,23,32.27,2
153,Product_153,Dairy,144,12,32,38.35,3
154,Product_154,Beverages,532,38,24,313.86,1
155,Product_155,Snacks,48,8,26,200.25,2
156,Product_156,Dairy,196,28,41,137.38,1
